"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"26/12/2022","25,12","24,94","-0,72","24,82","25,30","717,90M"
"23/12/2022","24,13","25,12","4,71","24,13","25,22","1,70B"
"22/12/2022","23,90","23,99","1,78","23,70","24,56","3,65B"
"21/12/2022","23,50","23,57","2,17","22,85","23,72","1,73B"
"20/12/2022","22,39","23,07","3,08","22,21","23,24","1,64B"
"19/12/2022","22,10","22,38","1,50","21,64","22,51","1,40B"
"16/12/2022","21,96","22,05","0,05","21,51","22,11","1,96B"
"15/12/2022","21,00","22,04","2,65","20,83","22,37","2,89B"
"14/12/2022","22,50","21,47","-7,93","20,77","22,60","6,88B"
"13/12/2022","24,10","23,32","-2,47","23,31","24,20","2,43B"
"12/12/2022","24,58","23,91","-3,24","23,13","24,66","2,64B"
"09/12/2022","24,99","24,71","-0,28","24,49","25,05","1,52B"
"08/12/2022","25,55","24,78","-2,25","24,64","25,79","1,40B"
"07/12/2022","25,34","25,35","-1,13","25,27","26,07","1,46B"
"06/12/2022","25,82","25,64","0,08","25,42","26,39","1,93B"
"05/12/2022","26,00","25,62","-1,12","25,55","26,58","1,46B"
"02/12/2022","25,69","25,91","1,25","25,31","26,45","1,72B"
"01/12/2022","26,58","25,59","-4,01","25,56","26,79","1,85B"
"30/11/2022","25,60","26,66","5,04","25,50","26,66","3,17B"
"29/11/2022","24,60","25,38","4,19","24,48","25,88","2,44B"
"28/11/2022","23,65","24,36","2,10","23,54","24,55","1,36B"
"25/11/2022","24,26","23,86","-1,61","23,60","24,33","1,40B"
"24/11/2022","23,52","24,25","3,46","23,25","24,63","2,27B"
"23/11/2022","23,00","23,44","0,47","22,80","23,65","1,80B"
"22/11/2022","23,00","23,33","-0,81","22,30","23,43","3,75B"
"21/11/2022","23,82","23,52","0,30","22,88","24,21","3,88B"
"18/11/2022","24,06","23,45","-1,69","23,03","24,24","2,98B"
"17/11/2022","23,71","23,85","0,04","23,32","23,98","2,40B"
"16/11/2022","24,42","23,85","-1,99","23,65","24,69","2,05B"
"14/11/2022","23,94","24,33","2,63","23,79","24,75","1,62B"
"11/11/2022","22,66","23,70","3,33","22,57","24,03","3,39B"
"10/11/2022","22,91","22,94","-2,90","22,49","23,62","3,34B"
"09/11/2022","23,85","23,63","-1,65","23,40","24,55","2,46B"
"08/11/2022","23,77","24,02","0,74","23,49","24,18","2,26B"
"07/11/2022","24,56","23,85","-4,06","23,77","24,85","2,84B"
"04/11/2022","27,05","24,85","-5,51","24,75","27,14","4,97B"
"03/11/2022","26,17","26,30","0,30","25,86","26,69","3,62B"
"01/11/2022","26,85","26,23","0,17","25,96","26,94","9,86B"
